location_type,mean,median,std,count,ci_lower,ci_upper
Functional urban area,1.5669522461403358,1.049951667192114,1.349432514637564,100,1.3024634732713731,1.8314410190092985
Rural and small town area,1.8185650828693083,1.570147602658547,1.429375509478643,107,1.5477265084033052,2.0894036573353114
